No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
608|UGC 05101|143.96499 |  61.35326 |G| 11802| 0.039367 |UUN |15.1g|  0.000|535|19|390|128|120|15|0
609|KUG 0932+596|144.13242 |  59.39825 |GPair| 12100| 0.040361 |SUN |15.3 |  0.000|18|1|14|8|3|0|0
610|NGC 2922|144.21860 |  37.69486 |G|  4363| 0.014552 |SLS |14.4g|  0.000|81|0|84|28|22|15|0
611|IRAS 09339+4135|144.26153 |  41.37423 |GPair||||     |  0.000|2|0|6|3|0|0|0
612|PKS 0936-62|144.40499 | -62.48642 |GPair||||19.5 |  0.000|9|1|7|4|0|0|1
613|VV 316|144.43583 |   2.75417 |GPair|  7056| 0.023536 |SUN |     |  0.000|10|2|2|4|2|0|0
614|KUG 0934+277|144.44855 |  27.56604 |G|  1588| 0.005297 |UUN |16.4g|  0.000|32|1|24|20|16|4|0
615|HIPASS J0938-61|144.66333 | -61.76167 |GPair|  2891| 0.009642 |S1L |     |  0.000|2|0|1|1|1|0|0
616|NGC 2944|144.82512 |  32.31077 |GPair|  6798| 0.022676 |SUN |14.7 |  0.000|42|6|15|11|8|5|2
617|UGC 05146|144.85958 |  32.36500 |GPair|  6859| 0.022879 |SUN |13.3 |  0.000|33|5|8|7|2|1|7
618|CGCG 092-021|144.87695 |  19.12936 |GPair|  7921| 0.026422 |SUN |15.4 |  0.000|8|0|10|5|1|2|2
619|NGC 2949|144.98449 |  16.78730 |GPair||||15.5 |  0.000|7|0|4|4|0|0|3
620|KUG 0938+294|145.29841 |  29.25170 |GPair| 10392| 0.034664 |SUN |16.5:|  0.000|6|1|5|5|2|0|1
621|MRK 1420|145.54151 |  48.01281 |GPair| 16834| 0.056151 |SLS |15.5 |  0.000|28|1|17|19|15|0|0
622|2MASS J09422198+0623362|145.59162 |   6.39339 |G| 37080| 0.123684 |SLS |18.3g|  0.000|16|0|52|12|8|8|0
623|UGC 05189|145.72803 |   9.48372 |GGroup|  3214| 0.010720 |S1L |13.8 |  0.000|48|2|19|15|12|4|0
624|RR 171|146.18333 | -31.81722 |GPair|  1251| 0.004172 |S1L |     |  0.000|4|0|2|1|2|0|1
625|KPG 213|146.28250 |  27.26917 |GPair|  9852| 0.032863 |S1L |14.9 |  0.000|7|0|1|2|1|0|0
626|2MASXi J0945150+331925|146.31242 |  33.32425 |GPair|||| 1.04|  0.000|0|0|1|1|0|0|1
627|CGCG 122-068|146.32367 |  20.89162 |GPair|  7393| 0.024660 |SUN |15.5 |  0.000|8|0|10|4|1|0|1
628|CGCG 092-041|146.39058 |  15.25703 |GPair| 12644| 0.042176 |S1L |15.6 |  0.000|10|0|10|7|3|0|0
629|NGC 2957|146.81597 |  72.98604 |GPair|  6701| 0.022352 |SUN |15.3 |  0.000|27|2|7|5|4|0|1
630|CGCG 063-070|146.93878 |   9.13977 |G|  7743| 0.025829 |SLS |15.2g|  0.000|40|0|66|19|15|10|0
631|HIPASS J0948+02|147.24000 |   2.45306 |GPair|  6131| 0.020451 |S1L |     |  0.000|1|0|0|1|1|0|0
632|KPG 216|147.44583 |   0.61958 |GPair|  1880| 0.006272 |S1L |13.0 |  0.000|10|0|1|2|1|0|0
633|KUG 0946+390|147.45250 |  38.84515 |G| 12325| 0.041111 |SLS |17.5g|  0.000|11|0|46|8|5|10|2
634|CGCG 210-040|147.45617 |  38.84114 |GPair|  5186| 0.017299 |SUN |15.5 |  0.000|5|0|6|4|1|0|6
635|HIPASS J0950-12|147.53458 | -12.07306 |GPair|  2653| 0.008849 |S1L |     |  0.000|2|0|1|1|1|0|0
636|HIPASS J0950+12|147.59250 |  12.79111 |GPair|  1440| 0.004802 |S1L |     |  0.000|2|0|0|1|1|0|0
637|IRAS 09516-7304|148.06792 | -73.30806 |GPair| 20596| 0.068701 |SUN |18.4 |  0.000|7|0|6|3|1|0|1
638|NGC 3058|148.39896 | -12.48156 |GPair|  7470| 0.024917 |SUN |15   |  0.000|25|1|9|3|3|4|0
639|KUG 0951+343|148.55256 |  34.14125 |G|  8114| 0.027067 |SLS |15.7g|  0.000|28|1|38|14|7|5|1
640|NGC 3056|148.63693 | -28.29823 |G|   973| 0.003246 |UUN |12.57|  0.000|90|5|52|20|16|19|0
641|NGC 3048|148.73833 |  16.45778 |GPair||||15.2 |  0.000|4|0|2|2|0|0|3
642|IC 2523|148.78983 | -33.21020 |G|  2615| 0.008724 |S1L |13.60|  0.000|50|5|54|19|15|17|0
643|WISEA J095643.77-095543.3|149.18240 |  -9.92872 |GPair| 26492| 0.088368 |SLS |16.3R|  0.000|5|0|35|7|2|2|1
644|WISEA J095823.64+021201.3|149.59841 |   2.20042 |VisS|351427| 1.172233 |SLS |22.0i|  0.000|27|0|44|27|22|0|1
645|ESO 435- G 016|149.69261 | -28.62183 |G|   980| 0.003269 |SUN |13.41|  0.000|57|3|39|20|15|18|0
646|PKS 0956+015|149.84066 |   1.30070 |GPair||||15.8 |  0.000|25|0|14|8|0|0|0
647|UGC 05370 NOTES01|149.91430 |   0.58603 |GTrpl| 19762| 0.065919 |SUN |16.75|  0.000|8|0|2|2|1|0|0
648|COSMOS 2017249|149.95284 |   2.38629 |GPair|282195| 0.941300 |SST |21.3i|  0.000|8|0|4|4|4|0|0
649|COSMOS2015 0842313|150.22705 |   2.57670 |G|1361058| 4.540000 |UUN |23.3i|  0.000|31|0|31|23|28|0|0
650|WISEA J100124.16+023907.0|150.35070 |   2.65196 |GPair|224934| 0.750300 |SST |     |  0.000|3|0|12|4|2|0|0
651|ESO 567- G 009|150.72644 | -20.06586 |G|  8190| 0.027319 |SLS |15   |  0.000|15|2|38|9|6|16|0
652|KUG 0959+579|150.75612 |  57.73548 |G| 14630| 0.048799 |PUN |16   |  0.000|7|0|32|6|1|3|0
653|VV 637|150.86304 |  -1.54655 |GPair| 13820| 0.046100 |SUN |15.6 |  0.000|12|0|10|6|2|1|0
654|NGC 3136A|150.88574 | -67.44846 |G|  2008| 0.006699 |S1L |15.54|  0.000|20|2|15|7|3|13|0
655|CGCG 064-049|151.13875 |  10.41333 |G|  9259| 0.030885 |SUN |15.6 |  0.000|13|0|8|8|4|0|1
656|WISEA J100602.47+071132.3|151.51030 |   7.19233 |QSO| 36129| 0.120512 |SLS |16.7g|  0.000|32|0|60|13|9|8|3
657|ESO 374-IG 032|151.52142 | -33.88811 |GPair| 10267| 0.034247 |SUN |15.21|  0.000|96|3|57|22|16|3|0
658|NGC 3125|151.63905 | -29.93486 |G|  1113| 0.003712 |S1L |13.50|  0.000|225|10|114|37|19|19|0
659|KUG 1003+488|151.69222 |  48.62944 |GPair| 19430| 0.064810 |SUN |15.7 |  0.000|31|2|8|10|6|0|4
660|CGCG 093-046|151.71675 |  14.37508 |GPair|  9053| 0.030198 |SUN |13.57|  0.000|36|0|10|5|1|2|0
661|IC 2543|152.09917 |  37.84278 |GPair| 15799| 0.052700 |SUN |15.7 |  0.000|11|0|5|5|1|0|0
662|KPG 225|152.53708 |  17.70583 |GPair||||14.8 |  0.000|5|0|1|2|0|0|1
663|CGCG 036-048|152.65488 |   5.15076 |G|  4109| 0.013705 |SLS |15.2g|  0.000|43|0|85|22|15|12|0
664|WISEA J101220.91-370236.8|153.08716 | -37.04358 |G| 51056| 0.170304 |SLS |16.8R|  0.000|1|0|30|5|1|0|0
665|CGCG 036-061|153.23662 |   6.17620 |GPair| 16387| 0.054661 |S1L |15.1 |  0.000|8|0|7|4|1|0|5
666|NGC 3175|153.67582 | -28.87193 |G|  1087| 0.003626 |S1L |12.13|  0.000|134|6|87|34|21|19|0
667|HIPASS J1015-43|153.76667 | -43.60750 |GPair|  3018| 0.010067 |S1L |     |  0.000|3|0|2|1|2|0|0
668|CGCG 036-071|153.76708 |   5.67639 |GPair|  8585| 0.028636 |S1L |15.1 |  0.000|8|0|7|6|2|0|0
669|KPG 229|154.16154 |  12.61411 |GPair||||14.3 |  0.000|4|1|1|1|0|0|2
670|IC 0600|154.29530 |  -3.49820 |G|  1311| 0.004373 |S1L |13.68|  0.000|66|2|58|26|15|6|0
671|VV 307|154.56375 |  21.86306 |GPair|  1579| 0.005268 |S1L |     |  0.000|7|2|2|1|1|0|0
672|NGC 3191|154.77115 |  46.45413 |G|  9182| 0.030627 |SLS |14.10|  0.000|86|4|51|30|22|10|0
673|CGCG 313-011|154.79146 |  63.96767 |GPair||||15.2 |  0.000|27|0|2|2|0|0|0
674|WISEA J102108.43+003826.8|155.28516 |   0.64081 |G| 16129| 0.053800 |SLS |16.6g|  0.000|24|0|55|13|8|6|0
675|CGCG 211-049|155.66417 |  38.57889 |GPair| 15229| 0.050800 |SUN |15.4 |  0.000|7|0|4|5|1|0|1
676|CGCG 094-022|155.71787 |  19.75858 |GPair||||15.4 |  0.000|2|0|2|2|0|0|0
677|MCG +02-27-005|155.85958 |  12.81564 |GPair|  9314| 0.031068 |SUN |15.3 |  0.000|13|0|0|5|4|1|3
