No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
5761|WISEA J223431.73+033645.5|338.63222 |   3.61265 |QSO|902064| 3.008960 |SLS |     |  0.000|8|0|12|3|3|0|0
5762|WISEA J223551.93-042114.9|338.96639 |  -4.35416 |IrS|911069| 3.039000 |SUN |     |  0.000|1|0|12|2|1|0|0
5763|SSTSL2 J223628.66+135736.8|339.11946 |  13.96025 |G|911669| 3.041000 |SUN |23.4R|  0.000|2|0|13|2|1|0|0
5764|WISEA J223645.75+040708.1|339.19084 |   4.11865 |QSO|901319| 3.006477 |SLS |     |  0.000|7|0|12|4|4|0|0
5765|WISEA J223728.08+052917.2|339.36703 |   5.48811 |QSO|908212| 3.029469 |SLS |     |  0.000|1|0|18|6|2|0|0
5766|WISEA J223800.39+165644.8|339.50146 |  16.94600 |QSO|906403| 3.023434 |SLS |     |  0.000|0|0|12|2|1|0|0
5767|WISEA J223812.05+330546.1|339.55024 |  33.09614 |IrS|908371| 3.030000 |SUN |     |  0.000|3|0|18|8|4|0|0
5768|WISEA J223819.88+010843.0|339.58288 |   1.14517 |*|909993| 3.035411 |SLS |19.8g|  0.000|10|0|17|5|3|4|0
5769|WISEA J223850.99+131251.1|339.71228 |  13.21439 |*|900876| 3.005000 |PUN |21.3g|  0.000|3|0|17|2|1|4|0
5770|WISEA J223851.02+223831.3|339.71306 |  22.64173 |QSO|908566| 3.030650 |SLS |     |  0.000|4|0|12|2|1|0|0
5771|WISEA J223859.70+062916.7|339.74868 |   6.48797 |QSO|900577| 3.004001 |SLS |     |  0.000|3|0|12|2|1|0|0
5772|WISEA J223924.43+140708.5|339.85181 |  14.11905 |*|910388| 3.036728 |SLS |21.6g|  0.000|5|0|17|3|2|4|0
5773|WISEA J224006.28+084401.8|340.02643 |   8.73395 |QSO|907946| 3.028580 |SLS |     |  0.000|4|0|12|2|1|0|0
5774|WISEA J224051.73+111057.3|340.21558 |  11.18259 |QSO|907876| 3.028347 |SLS |     |  0.000|4|0|18|3|1|0|0
5775|WISEA J224054.41+002008.1|340.22675 |   0.33614 |*|899378| 3.000000 |PUN |20.4g|  0.000|1|0|21|4|1|4|0
5776|WISEA J224106.87+052721.2|340.27868 |   5.45592 |QSO|903747| 3.014575 |SLS |     |  0.000|4|0|12|2|1|0|0
5777|WISEA J224111.41+195345.5|340.29760 |  19.89595 |QSO|906195| 3.022742 |SLS |     |  0.000|4|0|12|2|1|0|0
5778|WISEA J224123.95+195858.6|340.35002 |  19.98271 |QSO|904615| 3.017470 |SLS |     |  0.000|3|0|12|2|1|0|0
5779|WISEA J224141.83+233745.4|340.42424 |  23.62935 |QSO|904606| 3.017440 |SLS |     |  0.000|4|0|12|2|1|0|0
5780|WISEA J224150.13+010128.2|340.45899 |   1.02462 |*|900876| 3.005000 |PUN |18.9g|  0.000|2|0|24|4|1|4|0
5781|FBQS J2241-0155|340.47275 |  -1.92891 |VisS|910527| 3.037192 |SLS |19.19|  0.000|11|0|13|9|8|0|0
5782|WISEA J224207.42-093219.3|340.53093 |  -9.53870 |QSO|905854| 3.021603 |SLS |22.8g|  0.000|24|0|38|7|13|8|0
5783|WISEA J224212.62+080938.7|340.55266 |   8.16082 |QSO|905844| 3.021569 |SLS |     |  0.000|3|0|12|2|1|0|0
5784|WISEA J224302.08+053134.6|340.75860 |   5.52626 |QSO|908277| 3.029686 |SLS |     |  0.000|5|0|12|3|2|0|0
5785|WISEA J224427.84-013630.6|341.11602 |  -1.60851 |QSO|909878| 3.035027 |SLS |     |  0.000|8|0|12|4|3|0|0
5786|WISEA J224457.57+101710.6|341.24003 |  10.28635 |QSO|911850| 3.041604 |SLS |     |  0.000|4|0|12|2|1|0|0
5787|WISEA J224548.81+010958.9|341.45353 |   1.16617 |*|911504| 3.040448 |SLS |22.4g|  0.000|9|0|17|6|4|4|0
5788|WISEA J224602.24+272948.0|341.50935 |  27.49668 |IrS|908074| 3.029007 |SLS |     |  0.000|2|0|18|3|1|0|0
5789|WISEA J224604.35+185210.4|341.51813 |  18.86957 |UvS|907334| 3.026540 |SLS |     |  0.000|4|0|16|3|1|0|0
5790|WISEA J224649.57-025835.6|341.70655 |  -2.97657 |QSO|903425| 3.013500 |SLS |     |  0.000|4|0|12|2|1|0|0
5791|WISEA J224656.55+284715.7|341.73565 |  28.78771 |QSO|903882| 3.015025 |SLS |     |  0.000|1|0|12|2|1|0|0
5792|WISEA J224705.15+145529.5|341.77148 |  14.92493 |G|909870| 3.034998 |SLS |23.5g|  0.000|2|0|27|3|1|4|0
5794|WISEA J224729.80+333838.1|341.87419 |  33.64394 |QSO|902212| 3.009455 |SLS |     |  0.000|3|0|12|2|1|0|0
5795|WISEA J224736.20+102230.0|341.90102 |  10.37492 |QSO|902705| 3.011098 |SLS |     |  0.000|4|0|12|2|1|0|0
5796|WISEA J224752.94+103752.6|341.97046 |  10.63099 |QSO|908945| 3.031914 |SLS |     |  0.000|1|0|12|2|1|0|0
5797|WISEA J224758.05-001128.5|341.99182 |  -0.19148 |*|914367| 3.050000 |PUN |20.9g|  0.000|1|0|17|3|1|4|0
5798|WISEA J224823.55+125712.0|342.09837 |  12.95315 |QSO|904282| 3.016359 |SLS |20.7g|  0.000|26|0|38|6|11|8|0
5799|SDSS J224856.44+093657.7|342.23520 |   9.61604 |RadioS|913948| 3.048602 |SLS | 1.40|  0.000|7|0|1|3|2|0|1
5800|WISEA J225113.19+082924.0|342.80498 |   8.49001 |IrS|905373| 3.020000 |SLS |     |  0.000|1|0|18|3|1|0|0
5801|WISEA J225200.03-010121.5|342.99994 |  -1.02260 |*|914367| 3.050000 |PUN |20.4g|  0.000|1|0|15|4|1|4|0
5802|WISEA J225305.94+285913.5|343.27483 |  28.98719 |QSO|905717| 3.021147 |SLS |     |  0.000|4|0|12|2|1|0|0
5803|WISEA J225345.52-034415.9|343.43967 |  -3.73777 |IrS|904086| 3.015706 |SLS |     |  0.000|1|0|12|2|1|0|0
5804|WISEA J225403.46+280809.3|343.51443 |  28.13593 |QSO|906398| 3.023418 |SLS |     |  0.000|4|0|12|2|1|0|0
5805|WISEA J225457.24+081853.8|343.73855 |   8.31499 |QSO|912489| 3.043736 |SLS |     |  0.000|3|0|12|2|1|0|0
5806|WISEA J225511.46+114516.4|343.79775 |  11.75457 |QSO|908906| 3.031783 |SLS |     |  0.000|4|0|12|2|1|0|0
5807|WISEA J225520.88+071156.0|343.83711 |   7.19872 |QSO|910932| 3.038541 |SLS |     |  0.000|0|0|12|2|1|0|0
5808|WISEA J225533.83-050829.0|343.89096 |  -5.14140 |IrS|900580| 3.004010 |SLS |     |  0.000|1|0|12|2|1|0|0
5809|WISEA J225614.19+215644.6|344.05916 |  21.94573 |QSO|905170| 3.019322 |SLS |     |  0.000|1|0|12|2|1|0|0
5810|WISEA J225635.75+253435.6|344.14897 |  25.57657 |QSO|909064| 3.032311 |SLS |     |  0.000|4|0|12|2|1|0|0
5811|WISEA J225646.77+241434.5|344.19504 |  24.24282 |QSO|903020| 3.012149 |SLS |     |  0.000|5|0|12|3|2|0|0
5812|WISEA J225648.38+072041.8|344.20161 |   7.34501 |QSO|903831| 3.014855 |SLS |     |  0.000|4|0|12|2|1|0|0
5813|WISEA J225711.75+152002.7|344.29904 |  15.33362 |*|909870| 3.035000 |PUN |23.0g|  0.000|1|0|17|2|1|4|0
5814|WISEA J225733.75+054326.1|344.39077 |   5.72408 |QSO|913527| 3.047199 |SLS |     |  0.000|4|0|12|2|1|0|0
5815|WISEA J225740.95+211804.9|344.42034 |  21.30126 |QSO|899626| 3.000830 |SLS |     |  0.000|5|0|12|2|2|0|0
5817|WISEA J225816.41+002427.9|344.56796 |   0.40817 |*|899378| 3.000000 |PUN |21.3g|  0.000|1|0|17|3|1|4|0
5818|WISEA J225837.03+132635.3|344.65431 |  13.44314 |*|906232| 3.022864 |SLS |20.5g|  0.000|6|0|17|3|2|4|0
5819|WISEA J225912.31+335854.5|344.80133 |  33.98183 |IrS|900059| 3.002273 |UUN |     |  0.000|1|0|12|2|1|0|0
5820|WISEA J225912.85-011222.8|344.80347 |  -1.20624 |QSO|911629| 3.040868 |SLS |19.8g|  0.000|38|0|39|13|20|8|0
5822|WISEA J230102.21+121122.2|345.25921 |  12.18952 |QSO|908478| 3.030356 |SLS |     |  0.000|1|0|12|2|1|0|0
5823|WISEA J230302.62+142054.0|345.76102 |  14.34846 |*|900056| 3.002262 |SLS |21.3g|  0.000|3|0|17|3|1|4|0
5824|WISEA J230304.42+234824.6|345.76846 |  23.80691 |RadioS|904414| 3.016799 |SLS | 1.13|  0.000|4|0|13|3|1|0|0
5825|WISEA J230308.25+154243.1|345.78438 |  15.71199 |QSO|899900| 3.001742 |SLS |     |  0.000|4|0|12|2|1|0|0
5826|WISEA J230334.00+195813.0|345.89170 |  19.97028 |IrS|899378| 3.000000 |SUN |     |  0.000|1|0|12|2|1|0|0
5827|WISEA J230439.22+011500.9|346.16395 |   1.24979 |*|899378| 3.000000 |PUN |21.8g|  0.000|1|0|17|3|1|4|0
5828|WISEA J230531.37-103030.3|346.38098 | -10.50850 |*|912868| 3.045000 |PUN |20.9g|  0.000|3|0|17|2|1|4|0
