No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
4837|WISEA J144235.43-012807.2|220.64779 |  -1.46882 |*|909870| 3.035000 |PUN |21.9g|  0.000|2|0|17|2|1|4|0
4838|WISEA J144255.44+573013.1|220.73104 |  57.50364 |*|900340| 3.003211 |SLS |20.7g|  0.000|0|0|17|3|1|4|0
4839|WISEA J144321.71+282753.6|220.84046 |  28.46490 |*|899915| 3.001794 |SLS |20.2g|  0.000|5|0|17|3|1|4|0
4840|WISEA J144337.54+230833.2|220.90635 |  23.14256 |*|912533| 3.043882 |SLS |20.8g|  0.000|5|0|17|3|1|4|0
4841|WISEA J144339.37+173923.2|220.91390 |  17.65652 |*|901810| 3.008115 |SLS |21.9g|  0.000|5|0|17|3|1|4|0
4842|WISEA J144341.00+165043.6|220.92094 |  16.84556 |*|911784| 3.041384 |SLS |21.1g|  0.000|6|0|17|3|2|4|0
4843|WISEA J144406.71+331346.0|221.02797 |  33.22945 |QSO|913709| 3.047806 |SLS |20.5g|  0.000|29|0|42|9|14|8|0
4844|WISEA J144429.38+124906.8|221.12245 |  12.81857 |QSO|914002| 3.048781 |SLS |19.3g|  0.000|32|0|46|10|16|8|0
4845|WISEA J144450.79+195409.5|221.21177 |  19.90313 |*|911010| 3.038802 |SLS |21.5g|  0.000|5|0|17|3|1|4|0
4846|WISEA J144453.19+494656.4|221.22136 |  49.78243 |*|902209| 3.009445 |SLS |21.7g|  0.000|5|0|17|3|2|4|0
4847|B3 1443+418|221.30921 |  41.68406 |*|907553| 3.027271 |SLS |22.1g|  0.000|4|0|21|5|1|4|0
4848|WISEA J144514.30+612237.2|221.30961 |  61.37703 |*|910682| 3.037707 |SLS |21.1g|  0.000|5|0|17|3|2|4|1
