No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
4768|WISEA J143530.49+142338.4|218.87708 |  14.39401 |QSO|904585| 3.017370 |SLS |19.1g|  0.000|21|0|21|8|9|4|0
4769|SDSS J143538.59+353224.1|218.91083 |  35.54003 |*|913911| 3.048480 |SLS |22.1g|  0.000|10|0|15|7|6|4|1
4770|WISEA J143542.44+325915.3|218.92684 |  32.98759 |G|906273| 3.023000 |PUN |22.4g|  0.000|1|0|37|4|1|4|0
4771|WISEA J143551.71+361211.5|218.96536 |  36.20329 |*|909870| 3.035000 |PUN |22.6g|  0.000|2|0|17|2|1|4|0
4772|SDSS J143606.40+353329.9|219.02669 |  35.55828 |*|912670| 3.044340 |SLS |22.0g|  0.000|3|0|13|4|2|4|0
4773|WISEA J143614.02+352453.3|219.05843 |  35.41483 |G|905973| 3.022000 |PUN |21.8g|  0.000|2|0|37|4|1|4|0
4774|WISEA J143616.16+140138.4|219.06724 |  14.02699 |*|899948| 3.001902 |SLS |21.2g|  0.000|5|0|17|3|1|4|0
4775|[GCP2020] Bootes 24|219.08875 |  33.04139 |IrS|908371| 3.030000 |PUN |     |  0.000|2|0|0|2|1|0|0
4776|WISEA J143626.02+513301.6|219.10824 |  51.55040 |G|908188| 3.029390 |SLS |22.8g|  0.000|1|0|27|3|1|4|0
4777|WISEA J143630.38+100736.1|219.12691 |  10.12684 |*|910613| 3.037476 |SLS |21.6g|  0.000|5|0|17|3|1|4|0
4778|SDSS J143630.94+342838.7|219.12931 |  34.47744 |*|914367| 3.050000 |PUN |23.8g|  0.000|3|0|15|3|1|3|0
4779|WISEA J143636.95+342146.3|219.15398 |  34.36287 |G|912568| 3.044000 |PUN |22.5g|  0.000|4|0|37|4|1|4|0
4780|WISEA J143640.02+335345.7|219.16676 |  33.89605 |*|902675| 3.011000 |PUN |16.4g|  0.000|5|0|38|7|1|4|0
4781|WISEA J143646.23+345600.8|219.19266 |  34.93356 |G|901176| 3.006000 |PUN |22.7g|  0.000|4|0|37|4|1|4|0
4782|SDSS J143646.77+342409.6|219.19494 |  34.40271 |*|911369| 3.040000 |PUN |22.7g|  0.000|4|0|25|3|1|4|0
4783|SST24 J143701.9+344630|219.25829 |  34.77512 |G|911369| 3.040000 |UUN |27.7R|  0.000|4|0|25|3|3|0|0
4784|WISEA J143702.83+141452.5|219.26149 |  14.24759 |*|908711| 3.031134 |SLS |22.0g|  0.000|5|0|17|3|1|4|0
4785|SDSS J143731.13+340616.1|219.37969 |  34.10451 |G|912248| 3.042930 |SLS |22.8g|  0.000|2|0|23|3|1|4|0
4786|WISEA J143731.26+023359.9|219.38028 |   2.56687 |*|908302| 3.029770 |SLS |20.6g|  0.000|11|0|17|7|6|4|0
4787|WISEA J143731.33+341927.4|219.38058 |  34.32428 |G|905673| 3.021000 |PUN |22.3g|  0.000|3|0|37|4|1|4|0
4788|WISEA J143731.60+650859.7|219.38242 |  65.15011 |IrS|900592| 3.004050 |SLS |     |  0.000|0|0|12|2|1|0|0
4789|SDWFS J143733.10+352905.4|219.38802 |  35.48490 |IrS|904174| 3.016000 |PUN |16.9L|  0.000|2|0|0|2|1|0|0
4790|WISEA J143734.52+195924.8|219.39385 |  19.99022 |QSO|908047| 3.028918 |SLS |18.8g|  0.000|20|0|26|8|7|2|0
4791|WISEA J143736.83+352347.1|219.40348 |  35.39639 |*|905973| 3.022000 |PUN |21.7z|  0.000|3|0|22|4|1|0|0
